time DEVICE_CURRENT_L01_RX1 DEVICE_CURRENT_L01_RX2 DEVICE_CURRENT_L01_RX3 DEVICE_CURRENT_L02_TX1 PHASE_B01 PHASE_B02 PHASE_B03 PHASE_B04 PHASE_B05 PHASE_B06 PHASE_B07 PHASE_B08 PHASE_B09 PHASE_B10 PHASE_B11 PHASE_B14
7.9999999999999998e-12 -2.3540407900004656e-06 -2.3540407900004724e-06 -1.8127332209697643e-06 1.3233550873795778e-06 4.2482814278241132e-01 4.2482814278241143e-01 -1.2594980184237969e-01 1.2594980184237969e-01 8.0043776341346476e-03 -8.0043776341346459e-03 4.0015163721510022e-01 5.9452706591383830e-01 2.7764172680734056e-01 7.5156584123718317e-01 7.5156584123718317e-01 1.2604194024148525e+00
8.2500000000000006e-12 -2.2824213462402059e-06 -2.2824213462401924e-06 -1.3402060054997937e-06 8.5260802794674958e-07 4.3003573979232440e-01 4.3003573979232457e-01 -1.3073537606750121e-01 1.3073537606750124e-01 1.0122329519209246e-02 -1.0122329519209232e-02 4.0563071687431473e-01 6.0446221657941201e-01 2.8264892808825964e-01 7.5553156241393093e-01 7.5553156241393105e-01 1.2673696444400762e+00
8.4999999999999997e-12 -1.9872523529925900e-06 -1.9872523529925680e-06 -8.6418877211015553e-07 4.3490106872000280e-07 4.3344010317756904e-01 4.3344010317756915e-01 -1.3424281872394694e-01 1.3424281872394697e-01 1.1908926091617294e-02 -1.1908926091617271e-02 4.0947819792426204e-01 6.1175902782911085e-01 2.8565198880916015e-01 7.5647042886422200e-01 7.5647042886422200e-01 1.2743793534030676e+00
8.7500000000000005e-12 -1.4674061092969953e-06 -1.4674061092969710e-06 -7.0024079148032055e-07 1.9248767307875006e-07 4.3476402634147371e-01 4.3476402634147382e-01 -1.3567554506967749e-01 1.3567554506967752e-01 1.2608662181314260e-02 -1.2608662181314236e-02 4.1034552632487137e-01 6.1509839538307687e-01 2.8597616337485560e-01 7.5618094151877013e-01 7.5618094151877002e-01 1.2815376167646888e+00
8.9999999999999996e-12 -8.9716421335980801e-07 -8.9716421335979562e-07 -8.2305461775821563e-07 1.4067587402113858e-07 4.3444115569892428e-01 4.3444115569892439e-01 -1.3535501963532956e-01 1.3535501963532956e-01 1.2179005879474070e-02 -1.2179005879474045e-02 4.0849856410352270e-01 6.1484316098468805e-01 2.8409750465644712e-01 7.5631617184613265e-01 7.5631617184613253e-01 1.2878673773355196e+00
9.2500000000000004e-12 -5.0333651664032336e-07 -5.0333651664033289e-07 -9.4163305342503854e-07 2.0886500629037134e-07 4.3329320896357637e-01 4.3329320896357654e-01 -1.3428630518047263e-01 1.3428630518047260e-01 1.1220090979507515e-02 -1.1220090979507496e-02 4.0559751831302437e-01 6.1273389509133847e-01 2.8134287529360080e-01 7.5763747163941919e-01 7.5763747163941908e-01 1.2923903233832406e+00
9.4999999999999995e-12 -4.0638940984021730e-07 -4.0638940984024033e-07 -8.1383546472960554e-07 2.9685024126166006e-07 4.3221653440161995e-01 4.3221653440162011e-01 -1.3351842961608218e-01 1.3351842961608212e-01 1.0516552886030046e-02 -1.0516552886030034e-02 4.0361626324334221e-01 6.1093494826451977e-01 2.7924795832205701e-01 7.5994970074824253e-01 7.5994970074824242e-01 1.2948929122042345e+00
9.7500000000000003e-12 -5.4573726332282161e-07 -5.4573726332284405e-07 -4.6587473116456875e-07 3.3058430312474898e-07 4.3195030009337437e-01 4.3195030009337448e-01 -1.3366568080789981e-01 1.3366568080789976e-01 1.0534316894203933e-02 -1.0534316894203926e-02 4.0367723144987100e-01 6.1096767183282752e-01 2.7887813571635361e-01 7.6255537563942977e-01 7.6255537563942954e-01 1.2959396494100526e+00
9.9999999999999994e-12 -7.3602461509943972e-07 -7.3602461509944893e-07 -1.3022952845679463e-07 2.9045125530266807e-07 4.3287602755027971e-01 4.3287602755027976e-01 -1.3473527853973910e-01 1.3473527853973905e-01 1.1200517901574780e-02 -1.1200517901574770e-02 4.0556447627885034e-01 6.1311748143088085e-01 2.8040582238457290e-01 7.6481157631472652e-01 7.6481157631472640e-01 1.2964299498292737e+00
1.0250000000000000e-11 -4.2979351424172131e-07 -4.2979351424171470e-07 2.4374950608732423e-07 -3.2645055284195488e-07 4.3486080435009472e-01 4.3486080435009478e-01 -1.3624133026899837e-01 1.3624133026899835e-01 1.2060313213704214e-02 -1.2060313213704189e-02 4.0812728682776511e-01 6.1656559973640934e-01 2.8311617734732591e-01 7.6646214082320752e-01 7.6646214082320752e-01 1.2972126401947381e+00
1.0499999999999999e-11 5.8016192592228708e-07 5.8016192592229852e-07 6.6159898531541248e-07 -1.5549198607328482e-06 4.3727561293889311e-01 4.3727561293889317e-01 -1.3751889133366896e-01 1.3751889133366896e-01 1.2640638586784938e-02 -1.2640638586784896e-02 4.1015748925281759e-01 6.2003752499749709e-01 2.8582582103033710e-01 7.6768164059313238e-01 7.6768164059313238e-01 1.2989726643901651e+00
1.0750000000000000e-11 2.0562700320393060e-06 2.0562700320393149e-06 1.1268633670702281e-06 -3.0113747120490155e-06 4.3928839450756380e-01 4.3928839450756396e-01 -1.3810443938824404e-01 1.3810443938824407e-01 1.2745703424582450e-02 -1.2745703424582399e-02 4.1108385961240401e-01 6.2252226301516800e-01 2.8750832550254091e-01 7.6894461480590315e-01 7.6894461480590315e-01 1.3022299012108132e+00
1.0999999999999999e-11 3.8210136534233367e-06 3.8210136534233291e-06 1.8268768402164647e-06 -4.7039480216207367e-06 4.4032717502886753e-01 4.4032717502886770e-01 -1.3799784926177702e-01 1.3799784926177702e-01 1.2510006130237530e-02 -1.2510006130237488e-02 4.1109160297950814e-01 6.2371034458405317e-01 2.8781438546406157e-01 7.7086575503274968e-01 7.7086575503274968e-01 1.3072478553213487e+00
1.1250000000000000e-11 5.9434452030068765e-06 5.9434452030068528e-06 2.9464778083573044e-06 -6.6724990469138353e-06 4.4042860266465400e-01 4.4042860266465411e-01 -1.3764815200851424e-01 1.3764815200851416e-01 1.2234011955554323e-02 -1.2234011955554302e-02 4.1076074981696081e-01 6.2404850790307420e-01 2.8722317121238061e-01 7.7408321353603016e-01 7.7408321353603005e-01 1.3138994549035858e+00
1.1499999999999999e-11 8.4379549060471357e-06 8.4379549060471171e-06 4.3788826509807914e-06 -8.8759901408012386e-06 4.4022970034281755e-01 4.4022970034281766e-01 -1.3766307478820683e-01 1.3766307478820672e-01 1.2165688607069607e-02 -1.2165688607069602e-02 4.1062200396111320e-01 6.2448875089535250e-01 2.8675613236569619e-01 7.7915893232266731e-01 7.7915893232266720e-01 1.3217211346507405e+00
1.1750000000000000e-11 1.0569309336177221e-05 1.0569309336177206e-05 5.4625784568668440e-06 -1.0808972661905107e-05 4.4060765567305893e-01 4.4060765567305904e-01 -1.3843548718106216e-01 1.3843548718106211e-01 1.2383261422187821e-02 -1.2383261422187814e-02 4.1096064131998244e-01 6.2606057907785850e-01 2.8741949213930834e-01 7.8642152758145234e-01 7.8642152758145223e-01 1.3302116915742712e+00
1.2000000000000001e-11 1.1915962682008524e-05 1.1915962682008530e-05 6.0173894392877986e-06 -1.2191160752510947e-05 4.4221023139711146e-01 4.4221023139711163e-01 -1.3993742152029737e-01 1.3993742152029737e-01 1.2820351440937995e-02 -1.2820351440937967e-02 4.1189316355340616e-01 6.2940692503344342e-01 2.8967696413959215e-01 7.9573306166288715e-01 7.9573306166288704e-01 1.3390828443122238e+00
1.2250000000000000e-11 1.2723725386327600e-05 1.2723725386327612e-05 6.3312699955652814e-06 -1.3206828339146458e-05 4.4515645060591130e-01 4.4515645060591141e-01 -1.4179263851242083e-01 1.4179263851242085e-01 1.3363500171477867e-02 -1.3363500171477811e-02 4.1349802237050837e-01 6.3445814523562072e-01 2.9322227508263010e-01 8.0630235781893256e-01 8.0630235781893245e-01 1.3481584508580025e+00
1.2500000000000000e-11 1.3259226513637418e-05 1.3259226513637421e-05 6.4993179814255456e-06 -1.4028071498503412e-05 4.4902654350727700e-01 4.4902654350727711e-01 -1.4352667655300572e-01 1.4352667655300572e-01 1.3925507415547806e-02 -1.3925507415547732e-02 4.1579520848603541e-01 6.4041166679020611e-01 2.9715057218679047e-01 8.1671736050470933e-01 8.1671736050470922e-01 1.3570183567733698e+00
1.2750000000000000e-11 1.3664144308337425e-05 1.3664144308337417e-05 6.4927164502447060e-06 -1.4716132383631548e-05 4.5306929362018594e-01 4.5306929362018605e-01 -1.4479602409492084e-01 1.4479602409492079e-01 1.4453200669513503e-02 -1.4453200669513427e-02 4.1858339205508066e-01 6.4605911983169451e-01 3.0041531002747457e-01 8.2529276283543362e-01 8.2529276283543351e-01 1.3648347570155832e+00
1.3000000000000000e-11 1.3979907095117242e-05 1.3979907095117223e-05 6.3385718874834542e-06 -1.5280706699733122e-05 4.5648076796871390e-01 4.5648076796871401e-01 -1.4547622554775133e-01 1.4547622554775125e-01 1.4898934316608516e-02 -1.4898934316608454e-02 4.2133329359505256e-01 6.5030300648132133e-01 3.0231685743997572e-01 8.3067529607846924e-01 8.3067529607846913e-01 1.3706928850408944e+00
1.3249999999999999e-11 1.4235694415504862e-05 1.4235694415504847e-05 6.1880939504338854e-06 -1.5722813688881789e-05 4.5865094424077757e-01 4.5865094424077768e-01 -1.4563214118967677e-01 1.4563214118967671e-01 1.5208570576789090e-02 -1.5208570576789050e-02 4.2332234971638094e-01 6.5258583954890659e-01 3.0277319819033843e-01 8.3244709137027584e-01 8.3244709137027595e-01 1.3741580384536782e+00
1.3500000000000000e-11 1.4485929791773254e-05 1.4485929791773235e-05 6.2083002031291678e-06 -1.6053221129624716e-05 4.5933734362236972e-01 4.5933734362236989e-01 -1.4545627491407520e-01 1.4545627491407517e-01 1.5346327856128531e-02 -1.5346327856128513e-02 4.2399377056917853e-01 6.5302625676969583e-01 3.0226309146435471e-01 8.3138334666140135e-01 8.3138334666140146e-01 1.3755787840609859e+00
1.3749999999999999e-11 1.4787052931000651e-05 1.4787052931000644e-05 6.4422040580618190e-06 -1.6295937822010573e-05 4.5874050349852197e-01 4.5874050349852219e-01 -1.4521364733017506e-01 1.4521364733017500e-01 1.5330061467907882e-02 -1.5330061467907876e-02 4.2331278908962616e-01 6.5225772220538369e-01 3.0151754892698251e-01 8.2917031997226687e-01 8.2917031997226698e-01 1.3758765926820509e+00
1.4000000000000000e-11 1.5156307747983315e-05 1.5156307747983318e-05 6.7852243519143557e-06 -1.6484067883083422e-05 4.5744754588178527e-01 4.5744754588178549e-01 -1.4516825791651505e-01 1.4516825791651497e-01 1.5235875361779352e-02 -1.5235875361779344e-02 4.2185607384974266e-01 6.5112557821183326e-01 3.0115470156823793e-01 8.2768982434859129e-01 8.2768982434859129e-01 1.3760340805232900e+00
1.4249999999999999e-11 1.5559120055183380e-05 1.5559120055183396e-05 7.0886813632574309e-06 -1.6652116123520087e-05 4.5623523976623415e-01 4.5623523976623431e-01 -1.4547696718873410e-01 1.4547696718873399e-01 1.5159112473284454e-02 -1.5159112473284433e-02 4.2054155404387117e-01 6.5040823484672206e-01 3.0144744845240884e-01 8.2823138137194419e-01 8.2823138137194419e-01 1.3766962036161370e+00
1.4500000000000000e-11 1.5939285390968285e-05 1.5939285390968298e-05 7.2805190025509324e-06 -1.6828541260912787e-05 4.5579121132822170e-01 4.5579121132822181e-01 -1.4610318231368846e-01 1.4610318231368838e-01 1.5160149264984452e-02 -1.5160149264984407e-02 4.2015361106016269e-01 6.5063121073064867e-01 3.0230634344278690e-01 8.3103423384101882e-01 8.3103423384101882e-01 1.3781095119272782e+00
1.4750000000000001e-11 1.6268983939533153e-05 1.6268983939533163e-05 7.3977725453558262e-06 -1.7031202003344973e-05 4.5646781625122196e-01 4.5646781625122201e-01 -1.4683052401934388e-01 1.4683052401934385e-01 1.5238787354444120e-02 -1.5238787354444045e-02 4.2095645496112327e-01 6.5196404841056432e-01 3.0343104060385001e-01 8.3536365393526979e-01 8.3536365393526968e-01 1.3802960661141763e+00
1.5000000000000000e-11 1.6580310209312949e-05 1.6580310209312956e-05 7.5248345706379371e-06 -1.7266745956788154e-05 4.5817491095151425e-01 4.5817491095151425e-01 -1.4739398681684138e-01 1.4739398681684143e-01 1.5356804839485068e-02 -1.5356804839484969e-02 4.2262053454586879e-01 6.5419517938131877e-01 3.0450953765765032e-01 8.4002247047668877e-01 8.4002247047668877e-01 1.3832127535888277e+00
1.5249999999999999e-11 1.6583565102131979e-05 1.6583565102131969e-05 7.4604543959634312e-06 -1.7001918898364248e-05 4.6044815569545017e-01 4.6044815569545017e-01 -1.4764662473462523e-01 1.4764662473462531e-01 1.5486516562717965e-02 -1.5486516562717857e-02 4.2447274775028759e-01 6.5681442535049639e-01 3.0535026943098192e-01 8.4396091909174298e-01 8.4396091909174309e-01 1.3867392271145513e+00
1.5499999999999998e-11 1.6061342246948749e-05 1.6061342246948725e-05 7.0812440585783664e-06 -1.6046997806917859e-05 4.6264864739883621e-01 4.6264864739883621e-01 -1.4764275209585684e-01 1.4764275209585687e-01 1.5640845088989754e-02 -1.5640845088989653e-02 4.2588078749261482e-01 6.5920953321004172e-01 3.0589462785186361e-01 8.4662403113125417e-01 8.4662403113125428e-01 1.3905211780427125e+00
